번호,시/도,시/군/구,서점명,매장번호,주소,인증여부
1210,충청북도,청주시,시트북스토어(seatbookstore),043-268-7701,충북 청주시 흥덕구 송화로108번길 55 (송절동)2층,미인증
1196,충청북도,제천시,신백서점,043-644-9007,충북 제천시 신백로10길 9 (신백동),미인증
1171,충청북도,제천시,심심한책방,010-5391-2024,충북 제천시 덕산면 신현3길 27,미인증
1142,충청북도,청주시,아이꿈터청주점,043-223-1279,충북 청주시 상당구 석교동 39-1 1층,미인증
1131,충청북도,청주시,아크앤북 충청점,,충북 청주시 흥덕구 직지대로 308 (복대동),미인증
1128,충청북도,제천시,안녕 책,070-8259-7295,충북 제천시 봉양읍 용두대로36길 21,미인증
1072,충청북도,청주시,여름서재,043-264-2138,충북 청주시 흥덕구 직지대로753번길 35 (운천동),미인증
1045,충청북도,청주시,열린문고,043-234-4345,충북 청주시 서원구 복대로 32 (개신동) 드림빌딩 102호,인증
967,충청북도,청주시,오송서점,043-236-3412,충북 청주시 흥덕구 오송읍 오송생명3로 65-33 2층,미인증
945,충청북도,충주시,온다책방,,충북 충주시 예성로 228 (교현동),미인증
944,충청북도,충주시,온동네북,043-848-6930,충북 충주시 국원초5길 58 (연수동),미인증
921,충청북도,청주시,우리문고,043-255-9662,충북 청주시 상당구 상당로59번길 15 (남문로2가),미인증
857,충청북도,청주시,유신상사,043-256-2542,충북 청주시 상당구 상당로 115 (북문로2가) 116-102 1층,미인증
818,충청북도,제천시,이문서점,043-644-2835,충북 제천시 의림대로 114-4 1층 (중앙로1가),인증
805,충청북도,충주시,이학사,043-844-3493,충북 충주시 충인1길 52 (충인동),미인증
645,충청북도,청주시,좋은생각,043-223-1279,충북 청주시 상당구 대성로21번길 10-2 (석교동),미인증
622,충청북도,괴산군,중앙서림,043-832-2118,충북 괴산군 괴산읍 읍내로2길 57,미인증
620,충청북도,단양군,중앙서림,043-422-2475,충북 단양군 단양읍 삼봉로 293 중앙서림,미인증
613,충청북도,영동군,중앙서점,043-742-1575,충북 영동군 영동읍 계산로 16-2,미인증
605,충청북도,제천시,중앙서점,043-645-7787,충북 제천시 청전대로 188 (장락동),미인증
580,충청북도,진천군,진명서림,043-533-2559,충북 진천군 진천읍 중앙동로 56,미인증
565,충청북도,진천군,진천서점,043-533-2274,충북 진천군 진천읍 중앙동로 93-1,미인증
553,충청북도,청주시,창신서점,043-298-3733,충북 청주시 서원구 수곡로27번길 44 (수곡동) 2층,미인증
540,충청북도,충주시,책나무서점,010-8841-7944,충북 충주시 야현8길 14 (교현동),미인증
535,충청북도,충주시,책마을어린이서점,043-854-9922,충북 충주시 연원17길 1 (연수동),미인증
523,충청북도,충주시,책방 궤,010-9961-6086,충북 충주시 관아1길 20 (성내동) 3층(문화창업허브센터),미인증
516,충청북도,음성군,책방 문,043-883-9046,충북 음성군 금왕읍 대금로 1434-10 책방 문,미인증
431,충청북도,충주시,책이있는글터,043-848-4256,충북 충주시 국원대로 191 (금릉동)책이있는글터,인증
404,충청북도,청주시,청주교육대학교 구내서점,043-284-9275,충북 청주시 서원구 청남로 2065 (수곡동),미인증
403,충청북도,청주시,청주대학교 구내서점,043-229-8946,충북 청주시 청원구 안덕벌로104번길 28 (내덕동),미인증
402,충청북도,청주시,청주잉글리쉬플러스,043-236-5132,충북 청주시 흥덕구 대농로 39 (복대동) LK트리플렉스 B동 4층 401호,미인증
376,충청북도,청주시,충북보건과학대학교 구내서점,043-210-8193,충북 청주시 청원구 내수읍 덕암길 10,미인증
375,충청북도,음성군,충북서림,043-873-2323,충북 음성군 음성읍 중앙로 121 1층,미인증
372,충청북도,충주시,충주문학사,043-856-3000,충북 충주시 예성로 167 (성서동),미인증
241,충청북도,충주시,하비책방,010-9743-1241,충북 충주시 노은면 우성1길 201-61 깊은산속옹달샘,미인증
196,충청북도,충주시,한국스포츠인쇄광고간판,043-845-7272,충북 충주시 예성로 135 (성남동) 2층,미인증
158,충청북도,충주시,한샘서적,043-848-3771,충북 충주시 지현천변1길 51 (지현동),미인증
157,충청북도,청주시,한샘서점,043-266-4410,충북 청주시 서원구 천석로14번길 2 (사창동),미인증
151,충청북도,음성군,한솔문고,043-878-0157,충북 음성군 금왕읍 무극로 218-1 한솔문고,미인증
46,충청북도,청주시,홍문당서적금천점,043-293-0161,충북 청주시 상당구 중고개로 324 (금천동) 창영빌딩,인증
45,충청북도,청주시,홍문당서적분평점,043-291-0161,충북 청주시 서원구 1순환로1107번길 39 (분평동),인증
44,충청북도,청주시,홍문당서적용암점,043-294-3796,충북 청주시 상당구 월평로 172 2층 홍문당서적용암점 (용암동),인증
2548,충청남도,공주시,가가책방,010-9403-4982,충남 공주시 당간지주길 10 (반죽동),미인증
2538,충청남도,천안시,가문비나무아래,041-554-0108,"충남 천안시 서북구 불당34길 3-20 (불당동) Sol Plaza 301,302호",미인증
2531,충청남도,천안시,가온북스,041-522-8095,충남 천안시 서북구 천안대로 1223-24 (부대동),미인증
2530,충청남도,천안시,가온북스 나사렛대점,041-575-8095,충남 천안시 서북구 월봉로 48 (쌍용동),미인증
2529,충청남도,아산시,가온북스 순천향대점,041-530-3021,충남 아산시 신창면 순천향로 22-16,미인증
2411,충청남도,공주시,공주로,010-3664-2942,충남 공주시 큰샘1길 4-3 (봉황동),미인증
2372,충청남도,서천군,교학서점,041-953-0080,충남 서천군 서천읍 서천로 64 2층,미인증
2357,충청남도,천안시,국민도서(주),041-556-0003,충남 천안시 서북구 불당11로 101 (불당동)802 불당센타프라자 비공 1호,미인증
2330,충청남도,천안시,그루터기책방천안점,010-4525-0851,충남 천안시 동남구 신방동 1591 1층 그루터기책방 천안점,미인증
2317,충청남도,당진시,그림책꽃밭,010-2394-2616,충남 당진시 송악읍 계치길 143-12,미인증
2296,충청남도,천안시,글로벌서점,041-573-6989,충남 천안시 서북구 월봉로 128 (쌍용동) 1층 글로벌서점,미인증
2289,충청남도,천안시,글수레서점,041-556-2379,충남 천안시 동남구 청수로 87 (청수동),미인증
2249,충청남도,천안시,나녹북카페,010-4769-6544,충남 천안시 동남구 청수11로 24 (청당동) 에스디빌딩 5층505호,미인증
2247,충청남도,계룡시,나눔에서점,042-841-5948,충남 계룡시 엄사면 엄사중앙로 65-10 동아상가 102호,미인증
2245,충청남도,천안시,나라서적,041-571-9361,충남 천안시 서북구 늘푸른5길 26 (두정동)두정라이종합상가 B01호,미인증
2215,충청남도,홍성군,내포중앙서점,041-634-6900,충남 홍성군 홍북읍 청사로48번길 16,미인증
2193,충청남도,논산시,논산서점,041-734-3565,충남 논산시 시민로 415 (취암동),미인증
2182,충청남도,공주시,느리게 책방,010-5122-9807,충남 공주시 우체국길 24 (중동),미인증
2176,충청남도,천안시,능률도서,041-562-2009,충남 천안시 서북구 시청로 80 (불당동),인증
2143,충청남도,아산시,달곰책방,010-3011-2406,충남 아산시 배방읍 세교중앙1길 26 301호 달곰책방,미인증
2128,충청남도,당진시,당진기독교백화점,041-355-4289,"충남 당진시 북문길 1-12 (읍내동, 당진안신타워) 당진기독교백화점",미인증
2127,충청남도,당진시,당진서점,041-355-2118,충남 당진시 당진중앙1로 130-4 (읍내동) 1층,미인증
2119,충청남도,천안시,대교문고,041-577-2000,충남 천안시 서북구 월봉로 93 (쌍용동)지하1층 대교문고,미인증
2106,충청남도,청양군,대도서점,041-943-3367,충남 청양군 청양읍 중앙로 147,미인증
2048,충청남도,천안시,대학서림,041-551-2204,충남 천안시 동남구 호서대길 12 복지교육관 101,미인증
2029,충청남도,천안시,더북스,041-555-5578,충남 천안시 서북구 불당25로 142 (불당동) 111호,미인증
2016,충청남도,공주시,데시그램북스,010-8803-4656,충남 공주시 효심1길 12-1 (봉황동),미인증
1949,충청남도,태안군,동아서점,041-672-4335,충남 태안군 태안읍 중앙로 130,미인증
1905,충청남도,금산군,두루미책방,010-2125-9207,충남 금산군 남이면 숲속마을길 7 귀농귀촌센터1층 두루미책방,미인증
1853,충청남도,천안시,마르스북스토어,041-579-5791,충남 천안시 동남구 신부13길 4 (신부동) 1층,미인증
1798,충청남도,천안시,명성문고,041-551-1193,충남 천안시 서북구 불당31길 8 002호 (불당동1664),미인증
1786,충청남도,아산시,모랭이숲,010-6630-9639,충남 아산시 도고면 덕암산로 106-18,미인증
1767,충청남도,부여군,문광사서점,041-835-5577,충남 부여군 부여읍 석탑로 49,미인증
1733,충청남도,서산시,문화서점,041-665-7514,충남 서산시 안견로 184-18 (동문동),미인증
1728,충청남도,아산시,문화서점,041-546-9392,충남 아산시 온화로 115-1 (온천동),미인증
1651,충청남도,천안시,베스트서점문구,041-577-2232,충남 천안시 서북구 월봉7길 18 (쌍용동),미인증
1626,충청남도,천안시,복지서점,041-561-0597,충남 천안시 서북구 봉정로 347 (두정동),미인증
1619,충청남도,공주시,봉황서림,041-856-3375,충남 공주시 감영길 12-1 (반죽동),미인증
1609,충청남도,계룡시,부엔까미노,010-8819-6729,충남 계룡시 장안1길 22-1 (금암동),미인증
1571,충청남도,천안시,북스탑,041-574-5132,충남 천안시 서북구 불당대로 260 (쌍용동) 415호,미인증
1534,충청남도,부여군,북토이(BookToy),070-7755-4614,충남 부여군 규암면 수북로41번길 5 1층,미인증
1529,충청남도,천안시,북하우스,041-562-2009,경북 김천시 시청로 80 (신음동) C동,미인증
1527,충청남도,천안시,뷰리서점 백석대점,041-550-8744,충남 천안시 동남구 백석대학로 1-1 (안서동),미인증
1518,충청남도,공주시,블루프린트북,070-4604-6163,충남 공주시 제민천1길 55 (봉황동) 3층,미인증
1509,충청남도,천안시,비타민서점,041-566-5337,충남 천안시 서북구 백석3로 134 (백석동),미인증
1441,충청남도,천안시,상명대구내서점,041-552-3404,충남 천안시 동남구 상명대길 31 (안서동),미인증
1398,충청남도,서산시,서산서점,041-666-2427,충남 서산시 서령로 113 (동문동),미인증
1366,충청남도,서산시,서해서점,041-666-1236,충남 서산시 석림4로 64 (석림동) 1층,미인증
1352,충청남도,아산시,선문서점,041-530-2990,충남 아산시 탕정면 선문로221번길 70,미인증
1163,충청남도,당진시,씨네북,041-352-8012,충남 당진시 시청2로 49-19 (수청동) 시네마타워 10층,미인증
1146,충청남도,아산시,아산문고,041-545-7997,충남 아산시 어의정로 23 (온천동),미인증
1145,충청남도,아산시,아산서점,041-549-9808,충남 아산시 권곡동 575 아산서점,미인증
1143,충청남도,천안시,아이꿈터천안점,041-572-4050,충남 천안시 동남구 통정6로 5-3 (신방동),미인증
1091,충청남도,논산시,어쩌다산책,010-2300-4937,충남 논산시 시민로258번길 8 (내동) B1,미인증
1047,충청남도,천안시,열린문고,041-573-0827,충남 천안시 동남구 서부대로 264-3 (신방동)학산배학빌딩 지하1,미인증
1013,충청남도,아산시,영진서점,041-545-7002,충남 아산시 온천대로 1581 (모종동),미인증
992,충청남도,예산군,예원서림,041-335-2748,충남 예산군 예산읍 예산로 109,미인증
981,충청남도,당진시,오래된 미래,010-3412-1830,충남 당진시 면천면 동문1길 6,미인증
884,충청남도,공주시,웅진도서,041-852-7566,충남 공주시 웅진로 146 (중동),미인증
860,충청남도,아산시,유림서점,041-546-2066,충남 아산시 충무로 11 (온천동)유림서점,미인증
819,충청남도,공주시,이문고,041-853-2211,충남 공주시 웅진로 178 (중동),미인증
803,충청남도,논산시,이화서점,041-735-5503,충남 논산시 시민로 416 (취암동),미인증
772,충청남도,천안시,일상서재,070-7537-2355,충남 천안시 동남구 버들로 22 (문화동) 2층,미인증
711,충청남도,보령시,정인문고,041-936-4657,경북 안동시 희망1길 123 (옥동),미인증
643,충청남도,서산시,좋은서점,010-9382-2926,충남 서산시 안견로 184-18 지하층 (동문동),미인증
628,충청남도,금산군,중부대학교 구내서점,041-752-0501,충남 금산군 추부면 대학로 201,미인증
621,충청남도,공주시,중앙서림,041-855-3714,충남 공주시 번영1로 85-1 (신관동),미인증
616,충청남도,서산시,중앙서적,041-664-9757,충남 서산시 한마음8로 54 (석림동),미인증
612,충청남도,금산군,중앙서점,041-754-6203,충남 금산군 금산읍 뒷담말길 11,미인증
611,충청남도,홍성군,중앙서점,041-634-5082,충남 홍성군 홍성읍 조양로 148,미인증
607,충청남도,아산시,중앙서점,041-549-3700,충남 아산시 배방읍 배방로 223 중앙서점,미인증
472,충청남도,계룡시,책방서륜,010-2000-4701,충남 계룡시 엄사면 번영8길 7-3 101호,미인증
470,충청남도,부여군,책방세간,041-834-8205,충남 부여군 규암면 자온로 82,미인증
462,충청남도,서천군,책방앗간,010-6632-2103,충남 서천군 한산면 충절로 1102-30 책방앗간,미인증
445,충청남도,천안시,책방허송세월,010-8410-9160,충남 천안시 동남구 각원사길 132 (안서동),미인증
421,충청남도,천안시,천안도서 불당점,041-554-7823,충남 천안시 서북구 번영로 100 (불당동) 센트럴프라자 1층,미인증
420,충청남도,천안시,천안서적,041-576-1545,충남 천안시 동남구 일봉로 8 (신방동) 학산빌딩 농협지하,미인증
251,충청남도,보령시,하늘문고,041-927-9499,충남 보령시 한내로 17 (동대동),미인증
221,충청남도,예산군,학우서림,041-334-3118,충남 예산군 예산읍 예산로 31,미인증
220,충청남도,천안시,학우서림,041-574-5088,충남 천안시 동남구 봉명2길 1 (봉명동),미인증
214,충청남도,부여군,학원서림,041-832-9969,충남 부여군 부여읍 중앙로 11,미인증
180,충청남도,보령시,한내책방,041-934-2626,충남 보령시 중앙로 83 (대천동),미인증
155,충청남도,당진시,한선예의 꿈꾸는 이야기,041-362-2830,충남 당진시 신평면 신평로 812-100,미인증
138,충청남도,천안시,한양서적,041-582-1555,충남 천안시 서북구 성환읍 성환2로 104 한양서적,미인증
133,충청남도,아산시,한울서점,041-549-2121,충남 아산시 번영로169번길 3 (권곡동),미인증
67,충청남도,아산시,형제서점,041-545-9944,충남 아산시 온천대로 1474 (온천동) 1층,미인증
63,충청남도,천안시,혜성문고,041-569-1226,충남 천안시 서북구 두정로 98 (두정동),미인증
43,충청남도,홍성군,홍성서점,041-631-6310,충남 홍성군 홍성읍 충절로 1044,미인증
25,충청남도,계룡시,화서재,010-7270-7504,충남 계룡시 엄사면 전원로 63 1층,미인증
2543,제주특별자치도,제주시,가람도서,064-712-2266,제주특별자치도 제주시 우정로5길 4 (외도일동),미인증
2504,제주특별자치도,제주시,갤러리 책방 섬타임즈,010-4667-3219,제주특별자치도 제주시 애월읍 소길1길 15,미인증
2434,제주특별자치도,서귀포시,고요편지,,제주특별자치도 서귀포시 효돈로 175 (하효동),미인증
2410,제주특별자치도,제주시,공항서점,010-4137-0601,제주특별자치도 제주시 노형4길 25 (노형동) 1층,미인증
2341,제주특별자치도,제주시,귤다방,010-3895-6072,제주특별자치도 제주시 조천읍 곱은달서길 115,미인증
2340,제주특별자치도,서귀포시,그건그렇고,010-7191-8780,제주특별자치도 서귀포시 상예로 224 (상예동),미인증
2334,제주특별자치도,제주시,그레이 라이브러리,070-7537-0359,제주특별자치도 제주시 도남로 168-15 (아라일동) 1층,미인증
2329,제주특별자치도,제주시,그리고서점,010-7942-9111,제주특별자치도 제주시 애월읍 엄수로 167,미인증
2309,제주특별자치도,서귀포시,그림책방노란우산서광점,064-794-9313,제주특별자치도 서귀포시 안덕면 녹차분재로 32,미인증
2305,제주특별자치도,제주시,그림책카페노란우산관광대점,070-4158-9313,제주특별자치도 제주시 애월읍 평화로 2715 제주관광대학교 행복기숙사2호관 2층 1호,미인증
2233,제주특별자치도,제주시,나이롱책방,010-2068-8984,제주특별자치도 제주시 선사로2길 37 (삼양일동) 1층,미인증
2228,제주특별자치도,제주시,남문도서,064-753-1800,제주특별자치도 제주시 중앙로 364 (이도이동),미인증
2196,제주특별자치도,제주시,노형서적,0507-1353-5202,제주특별자치도 제주시 정존11길 25 (노형동),미인증
2180,제주특별자치도,제주시,늘벗서점,064-758-4689,제주특별자치도 제주시 진군길 29 (노형동),미인증
2141,제주특별자치도,제주시,달리책방,064-796-6076,제주특별자치도 제주시 한림읍 월계로 18,미인증
2137,제주특별자치도,제주시,달책방,064-782-4847,제주특별자치도 제주시 구좌읍 대수길 10-12,미인증
2088,제주특별자치도,제주시,대성서점,064-722-3509,제주특별자치도 제주시 서광로 304 (이도이동),미인증
2054,제주특별자치도,제주시,대진서점,064-756-1581,제주특별자치도 제주시 일주동로 194 (화북일동),미인증
2004,제주특별자치도,서귀포시,독서의입구,010-4810-0829,제주특별자치도 서귀포시 대정읍 상모로 318 2층,미인증
1916,제주특별자치도,제주시,동진서점,064-796-2175,제주특별자치도 제주시 한림읍 한림중앙로 5 1층 동진서점,미인증
1895,제주특별자치도,제주시,디어마이블루,064-799-4509,제주특별자치도 제주시 애월읍 고내로11길 18,미인증
1884,제주특별자치도,서귀포시,라바북스,010-4416-0444,제주특별자치도 서귀포시 남원읍 태위로 87 1층,미인증
1828,제주특별자치도,제주시,만춘서점,064-784-6137,제주특별자치도 제주시 조천읍 함덕로 9,미인증
1806,제주특별자치도,서귀포시,명문서적,064-732-7572,제주특별자치도 서귀포시 중앙로 121 (서홍동)명문서적,인증
1777,제주특별자치도,제주시,몽캐는책고팡,064-901-0879,"제주특별자치도 제주시 애월읍 고하상로 125-1 순여네국수, 하가 1476 맞은 편 촉록지붕",미인증
1776,제주특별자치도,제주시,무명서점,010-6390-3136,제주특별자치도 제주시 한경면 고산로 26 2층,미인증
1761,제주특별자치도,제주시,문예서점,064-724-7510,제주특별자치도 제주시 용담로 68-1 (용담이동),미인증
1693,제주특별자치도,제주시,바라나시책골목,010-7599-9720,제주특별자치도 제주시 동한두기길 35-2 (용담일동),미인증
1674,제주특별자치도,제주시,밤수지맨드라미,010-7405-2324,제주특별자치도 제주시 우도면 우도해안길 530,미인증
1660,제주특별자치도,서귀포시,백화서점,064-794-2309,제주특별자치도 서귀포시 대정읍 하모상가로 39-2,미인증
1632,제주특별자치도,제주시,보배책방,010-4205-6672,제주특별자치도 제주시 애월읍 장유길 42,미인증
1605,제주특별자치도,서귀포시,부키니스트북스,010-5912-8112,제주특별자치도 서귀포시 안덕면 화순로 67 2층,미인증
1598,제주특별자치도,제주시,북덕북덕,010-6254-3040,제주특별자치도 제주시 구좌읍 송당6길 38-1 제2동,미인증
1594,제주특별자치도,서귀포시,북랜드,064-787-1997,제주특별자치도 서귀포시 표선면 표선중앙로 51,미인증
1580,제주특별자치도,서귀포시,북살롱이마고,064-787-3282,제주특별자치도 서귀포시 표선면 세화강왓로 78,미인증
1569,제주특별자치도,제주시,북스토어 아베끄,010-3299-1609,제주특별자치도 제주시 한림읍 금능9길 1-1 밖거리,미인증
1567,제주특별자치도,제주시,북스페이스 곰곰,010-5105-7433,제주특별자치도 제주시 우평로 45-1 (도평동) 바인빌딩 1층,미인증
1561,제주특별자치도,제주시,북앤북스,064-725-7279,제주특별자치도 제주시 연북로 25 (노형동),미인증
1535,제주특별자치도,서귀포시,북타임,064-763-5511,제주특별자치도 서귀포시 남원읍 위미중앙로 160,미인증
1517,제주특별자치도,제주시,비건책방,0502-1911-1120,제주특별자치도 제주시 조천읍 선흘동2길 46,미인증
1497,제주특별자치도,서귀포시,사계리서점,070-7655-2118,제주특별자치도 서귀포시 안덕면 사계로114번길 54-58,미인증
1489,제주특별자치도,서귀포시,사서책방,070-7778-2514,"제주특별자치도 서귀포시 일주서로 313 (도순동, 진양연립) 1층",미인증
1488,제주특별자치도,제주시,사슴책방,010-7402-9077,제주특별자치도 제주시 조천읍 중산간동로 698-71,미인증
1463,제주특별자치도,제주시,삼성서점,0507-1312-2981,제주특별자치도 제주시 절물3길 34 (외도일동),미인증
1457,제주특별자치도,제주시,삼양서점,064-759-8959,제주특별자치도 제주시 번영로 471 (봉개동),미인증
1450,제주특별자치도,제주시,삼춘책방,010-3591-6896,제주특별자치도 제주시 구좌읍 상하도길 46-12,미인증
1397,제주특별자치도,제주시,서실리책방,010-4597-1558,제주특별자치도 제주시 구좌읍 중산간동로 2262,미인증
1347,제주특별자치도,제주시,선한종이,010-9879-3356,제주특별자치도 제주시 조천읍 곱은달남길 172 1층 녹색문,미인증
1283,제주특별자치도,제주시,소심한책방,070-8147-0848,제주특별자치도 제주시 구좌읍 종달동길 29-6,미인증
1248,제주특별자치도,제주시,숨쉬는오늘,010-2456-4855,제주특별자치도 제주시 애월읍 장유길 44,미인증
1215,제주특별자치도,서귀포시,시옷서점,010-4521-2592,제주특별자치도 서귀포시 막동산로 19 (호근동),미인증
1160,제주특별자치도,제주시,아가페서점,064-753-6736,제주특별자치도 제주시 중앙로 554 (아라일동) 1층,미인증
1157,제주특별자치도,제주시,아라서점,064-744-8341,제주특별자치도 제주시 중앙로 355 (이도이동),미인증
1149,제주특별자치도,제주시,아무튼책방,064-722-2654,제주특별자치도 제주시 간월동로 12 (아라이동) 1층,미인증
1112,제주특별자치도,제주시,애월책방 이다,010-8931-9728,제주특별자치도 제주시 애월읍 고내북동길 15 1층,미인증
1097,제주특별자치도,서귀포시,어나더페이지,010-3340-4276,제주특별자치도 서귀포시 대정읍 동일하모로220번길 19,미인증
1096,제주특별자치도,서귀포시,어떤바람,064-792-2830,제주특별자치도 서귀포시 안덕면 산방로 374,미인증
1088,제주특별자치도,제주시,언제라도,010-2956-1087,제주특별자치도 제주시 구좌읍 문주란로5길 34-2,미인증
1064,제주특별자치도,제주시,연동서점,064-744-1114,제주특별자치도 제주시 국기로 32 (연동),미인증
964,제주특별자치도,서귀포시,오조바닷가책방,010-3246-6004,제주특별자치도 서귀포시 성산읍 오조로 129 (오조리 577-4),미인증
963,제주특별자치도,제주시,오줌폭탄,010-9687-3795,제주특별자치도 제주시 조천읍 함덕5길 8-23,미인증
956,제주특별자치도,제주시,오현서점,064-721-1786,제주특별자치도 제주시 일주동로 105 (화북일동),미인증
902,제주특별자치도,제주시,우생당,064-722-2107,제주특별자치도 제주시 관덕로 42 (일도일동),미인증
901,제주특별자치도,서귀포시,우생당,064-733-8001,제주특별자치도 서귀포시 중앙로 104 (동홍동),미인증
849,제주특별자치도,서귀포시,유화당,010-6471-5880,제주특별자치도 서귀포시 태평로 409-2 (서귀동),미인증
801,제주특별자치도,제주시,이후북스 제주점,010-3022-6520,제주특별자치도 제주시 관덕로4길 3 (삼도이동),미인증
785,제주특별자치도,서귀포시,인터뷰,010-5758-3874,제주특별자치도 서귀포시 중산간동로 8353 (서호동),미인증
706,제주특별자치도,제주시,제일도서,064-712-9898,제주특별자치도 제주시 과원북4길 35 (노형동),미인증
688,제주특별자치도,제주시,제주관광대학교 구내서점,064-740-8827,제주특별자치도 제주시 애월읍 평화로 2715,미인증
687,제주특별자치도,제주시,제주대학교 구내서점,064-726-6035,제주특별자치도 제주시 제주대학로 102 (아라일동),미인증
686,제주특별자치도,제주시,제주살롱,070-8860-7504,제주특별자치도 제주시 구좌읍 송당2길 7-1,미인증
685,제주특별자치도,제주시,제주풀무질,064-782-6917,제주특별자치도 제주시 구좌읍 세화합전2길 10-2,미인증
633,제주특별자치도,제주시,주제넘은서점,010-9072-7205,제주특별자치도 제주시 애월읍 하가로 172,미인증
617,제주특별자치도,제주시,중앙서적,064-721-4301,제주특별자치도 제주시 화삼북로 59 (삼양이동),미인증
597,제주특별자치도,제주시,"지나가다, 봄",010-8661-2348,제주특별자치도 제주시 칠성로길 8-1 (일도일동) 1층,미인증
546,제주특별자치도,제주시,책가방,010-2661-6787,제주특별자치도 제주시 동문로14길 11 (일도이동),미인증
519,제주특별자치도,제주시,책방 마고,064-783-1006,제주특별자치도 제주시 구좌읍 세화10길 13,미인증
512,제주특별자치도,제주시,책방 소리소문,,제주특별자치도 제주시 한림읍 중산간서로 4062,미인증
507,제주특별자치도,제주시,책방 오늘,010-3691-6626,제주특별자치도 제주시 진군3길 17 (노형동) 1층 북쪽 상가,미인증
506,제주특별자치도,제주시,책방 오후,010-2108-3526,제주특별자치도 제주시 구좌읍 월정3길 40,미인증
481,제주특별자치도,서귀포시,책방무사,010-6584-6571,제주특별자치도 서귀포시 성산읍 수시로10번길 3,미인증
435,제주특별자치도,제주시,책약방,0507-1374-2031,제주특별자치도 제주시 구좌읍 종달로5길 11,미인증
434,제주특별자치도,제주시,책은선물,010-4866-5738,제주특별자치도 제주시 한경면 신창5길 5 돌창고,미인증
