Date,Age,History
2024년 4월,60대,Crawling Successed.
2024년 5월,10대,Crawling Successed.
2024년 5월,20대,Crawling Successed.
2024년 5월,30대,Crawling Successed.
2024년 5월,40대,Crawling Successed.
2024년 5월,50대,Crawling Successed.
2024년 5월,60대,Crawling Successed.
2024년 6월,10대,Crawling Failed. No Data.
2024년 6월,20대,Crawling Failed. No Data.
2024년 6월,30대,Crawling Failed. No Data.
2024년 6월,40대,Crawling Failed. No Data.
2024년 6월,50대,Crawling Failed. No Data.
2024년 6월,60대,Crawling Failed. No Data.
